Rank;English translation;Infinitive;Conjugation group;Conjugation suffix;Colloquial;Perfective aspect;Aspect pairs;Refexive aspect;Movement aspect;я;ты;он/она́/оно́;мы;вы;они́;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
9;be, happen;быть;;;;несовер.;;not reflexive;movement;есть;есть;есть;есть;есть;есть;будь;будьте;будучи;быв;;бывший;;
29;say, tell;сказать;1;А;;совер.;говорить/сказать;not reflexive;not movement;скажу;скажешь;скажет;скажете;скажем;скажут;скажи;скажите;;сказав;;сказавший;;сказанный
32;be able, can;мочь;1;К,Г;;несовер.;мочь/смочь;not reflexive;movement;могу;можешь;может;можете;можем;могут;моги;могите;;могши;могущий;могший;могущий;могший
49;(be able to) speak, talk;говорить;2;И;;несовер.;говорить/сказать;not reflexive;not movement;говорю;говоришь;говорит;говорите;говорим;говорят;говори;говорите;говоря;говорив;говорящий;говоривший;;
51;know, be aware (of);знать;1;АЙ;;несовер.;;not reflexive;not movement;знаю;знаешь;знает;знаете;знаем;знают;знай;знайте;зная;знав;знающий;знавший;;
61;begin, come;стать;1;Н;;совер.;становиться/стать;not reflexive;not movement;стану;станешь;станет;станете;станем;станут;стань;станьте;;став;;ставший;;
71;eat;есть;;;;несовер.;есть/съесть;not reflexive;not movement;ем;ешь;ест;едите;едим;едят;ешь;ешьте;;ев;едящий;евший;;еденный
88;want, like;хотеть;;;;несовер.;хотеть/захотеть;not reflexive;not movement;хочу;хочешь;хочет;хотите;хотим;хотят;;;хотя;хотев;хотящий;хотевший;;
94;see;видеть;2;Е;;несовер.;видеть/увидеть;not reflexive;not movement;вижу;видишь;видит;видите;видим;видят;;;видя;видев;видящий;видевший;видимый;виденный
95;go, come;идти;;;;несовер.;идти/пойти;not reflexive;movement;иду;идёшь;идёт;идёте;идём;идут;иди;идите;идя;шедши;идущий;шедший;идущий;шедший
98;stand;стоять;2;Й-А;;несовер.;;not reflexive;movement;стою;стоишь;стоит;стоите;стоим;стоят;стой;стойте;стоя;стояв;стоящий;стоявший;стоящий;стоявший
106;think (about, of);думать;1;АЙ;;несовер.;думать/подумать;not reflexive;not movement;думаю;думаешь;думает;думаете;думаем;думают;думай;думайте;думая;думав;думающий;думавший;думающий;думавший
108;ask, inquire;спросить;2;И;;совер.;спрашивать/спросить;not reflexive;not movement;спрошу;спросишь;спросит;спросите;спросим;спросят;спроси;спросите;;спросив;;спросивший;;спрошенный
117;live, reside;жить;1;В;;несовер.;;not reflexive;not movement;живу;живёшь;живёт;живёте;живём;живут;живи;живите;живя;жив;живущий;живший;;
119;look, look (at);смотреть;2;Е;;несовер.;смотреть/посмотреть;not reflexive;not movement;смотрю;смотришь;смотрит;смотрите;смотрим;смотрят;смотри;смотрите;смотря;смотрев;смотрящий;смотревший;;смотренный
125;sit, be perched;сидеть;1;Б,Д,Т;;несовер.;;not reflexive;not movement;сижу;сидишь;сидит;сидите;сидим;сидят;сиди;сидите;сидя;сидев;сидящий;сидевший;сидящий;сидевший
126;understand, comprehend;понять;1;НЯТЬ;;совер.;понимать/понять;not reflexive;not movement;пойму;поймёшь;поймёт;поймёте;поймём;поймут;пойми;поймите;;поняв;;понявший;;понятый
127;have, possess;иметь;1;ЕЙ;;несовер.;;not reflexive;not movement;имею;имеешь;имеет;имеете;имеем;имеют;имей;имейте;имея;имев;имеющий;имевший;;
129;make;делать;1;АЙ;;несовер.;делать/сделать;not reflexive;not movement;делаю;делаешь;делает;делаете;делаем;делают;делай;делайте;делая;делав;делающий;делавший;делаемый;деланный
132;take, shoulder;взять;1;;;совер.;брать/взять;not reflexive;not movement;возьму;возьмёшь;возьмёт;возьмёте;возьмём;возьмут;возьми;возьмите;;взяв;;взявший;;взятый
134;make;сделать;1;АЙ;;совер.;делать/сделать;not reflexive;not movement;сделаю;сделаешь;сделает;сделаете;сделаем;сделают;сделай;сделайте;;сделав;;сделавший;;сделанный
138;understand, comprehend;понимать;1;АЙ;;несовер.;понимать/понять;not reflexive;not movement;понимаю;понимаешь;понимает;понимаете;понимаем;понимают;понимай;понимайте;понимая;понимав;понимающий;понимавший;понимаемый;
139;seem, appear (to);казаться;1;А;;несовер.;казаться/показаться;reflexive;not movement;кажусь;кажешься;кажется;кажетесь;кажемся;кажутся;кажись;кажитесь;кажась;казавшись;кажущийся;казавшийся;кажущийся;казавшийся
153;give;давать;1;ДА, СТА-ЗНА;;несовер.;давать/дать;not reflexive;not movement;даю;даёшь;даёт;даёте;даём;дают;давай;давайте;давая;давав;дающий;дававший;даваемый;
160;begin;пойти;1;;;совер.;идти/пойти;not reflexive;movement;пойду;пойдёшь;пойдёт;пойдёте;пойдём;пойдут;пойди;пойдите;;;;пошедший;;
163;see;увидеть;2;Е;;совер.;видеть/увидеть;not reflexive;not movement;увижу;увидишь;увидит;увидите;увидим;увидят;увидь;увидьте;;увидев;;увидевший;;увиденный
173;remain, stay;остаться;1;Н;;совер.;оставаться/остаться;reflexive;not movement;останусь;останешься;останется;останетесь;останемся;останутся;останься;останьтесь;ося;остав;;оставшийся;;
176;go out, come out;выйти;;;;совер.;выходить/выйти;not reflexive;movement;выйду;выйдешь;выйдет;выйдете;выйдем;выйдут;выйди;выйдите;;выйдя;;вышедший;;
177;give;дать;1;АЙ;;совер.;давать/дать;not reflexive;not movement;дам;дашь;даст;дадите;дадим;дадут;дай;дайте;;дав;;давший;;данный
178;work, function;работать;1;АЙ;;несовер.;;not reflexive;not movement;работаю;работаешь;работает;работаете;работаем;работают;работай;работайте;работая;работав;работающий;работавший;работающий;работавший
179;love;любить;2;И;;несовер.;;not reflexive;not movement;люблю;любишь;любит;любите;любим;любят;люби;любите;любя;любив;любящий;любивший;;любленный
183;turn out (to be), be found;оказаться;1;А;;совер.;оказываться/оказаться;reflexive;not movement;окажусь;окажешься;окажется;окажетесь;окажемся;окажутся;окажись;окажитесь;ся;оказав;;оказавшийся;;оказанныйся
190;answer, reply (to);ответить;2;;;совер.;отвечать/ответить;not reflexive;not movement;отвечу;ответишь;ответит;ответите;ответим;ответят;ответь;ответьте;;ответив;;ответивший;;отвеченный
192;think (about, of);подумать;1;;;совер.;думать/подумать;not reflexive;not movement;подумаю;подумаешь;подумает;подумаете;подумаем;подумают;подумай;подумайте;;подумав;;подумавший;;
196;mean, signify;значить;;;;несовер.;;not reflexive;movement;значу;значишь;значит;значите;значим;значат;значь;значьте;знача;значив;значащий;значивший;;
201;look, look (at);посмотреть;2;;;совер.;смотреть/посмотреть;not reflexive;not movement;посмотрю;посмотришь;посмотрит;посмотрите;посмотрим;посмотрят;посмотри;посмотрите;;посмотрев;;посмотревший;;посмотренный
206;wait (for), expect;ждать;1;;;несовер.;;not reflexive;not movement;жду;ждёшь;ждёт;ждёте;ждём;ждут;жди;ждите;;ждав;ждущий;ждавший;;жданный
213;lie;лежать;1;;;несовер.;;not reflexive;not movement;лежу;лежишь;лежит;лежите;лежим;лежат;лежи;лежите;лёжа;лежав;лежащий;лежавший;лежащий;лежавший
217;find, discover;найти;;;;совер.;находить/найти;not reflexive;not movement;найду;найдёшь;найдёт;найдёте;найдём;найдут;найди;найдите;;найдя;;нашедший;;найденный
218;write;писать;;;;несовер.;писать/написать;not reflexive;not movement;пишу;пишешь;пишет;пишете;пишем;пишут;пиши;пишите;;писав;пишущий;писавший;;писанный
226;solve, settle;решить;2;;;совер.;решать/решить;not reflexive;not movement;решу;решишь;решит;решите;решим;решат;реши;решите;;решив;;решивший;;решённый
230;return, come back;вернуться;;;;совер.;возвращаться/вернуться;reflexive;not movement;вернусь;вернёшься;вернётся;вернётесь;вернёмся;вернутся;вернись;вернитесь;;вернувшись;;вернувшийся;;
233;count, compute;считать;1;;;несовер.;считать/счесть;not reflexive;not movement;считаю;считаешь;считает;считаете;считаем;считают;считай;считайте;считая;считав;считающий;считавший;считаемый;считанный
235;remember, recollect;помнить;;;;несовер.;;not reflexive;not movement;помню;помнишь;помнит;помните;помним;помнят;помни;помните;помня;помнив;помнящий;помнивший;;помненный
239;find, take;получить;;;;совер.;получать/получить;not reflexive;not movement;получу;получишь;получит;получите;получим;получат;получи;получите;;получив;;получивший;;полученный
247;go, walk;ходить;;;;несовер.;ходить/пойти;not reflexive;movement;хожу;ходишь;ходит;ходите;ходим;ходят;ходи;ходите;ходя;ходив;ходящий;ходивший;ходящий;ходивший
251;be, be present;бывать;1;;;несовер.;;not reflexive;movement;бываю;бываешь;бывает;бываете;бываем;бывают;бывай;бывайте;бывая;бывав;бывающий;бывавший;бывающий;бывавший
253;come, arrive;прийти;;;;совер.;приходить/прийти;not reflexive;movement;приду;придёшь;придёт;придёте;придём;придут;приди, приходи;придите, приходите;;придя;;пришедший;;
260;know (again), recognize;узнать;1;;;совер.;узнавать/узнать;not reflexive;not movement;узнаю;узнаешь;узнает;узнаете;узнаем;узнают;узнай;узнайте;;узнав;;узнавший;;узнанный
263;notice, mark;заметить;;;;совер.;замечать/заметить;not reflexive;not movement;замечу;заметишь;заметит;заметите;заметим;заметят;заметь;заметьте;;заметив;;заметивший;;замеченный
266;leave, go away / off;уйти;;;;совер.;уходить/уйти;not reflexive;movement;уйду;уйдёшь;уйдёт;уйдёте;уйдём;уйдут;уйди;уйдите;;уйдя;;ушедший;;
269;hear;слышать;1;;;несовер.;слышать/услышать;not reflexive;not movement;слышу;слышишь;слышит;слышите;слышим;слышат;;;слыша;слышав;слышащий;слышавший;слышимый;слышанный
270;listen (to), hear;слушать;;;;несовер.;слушать/послушать;not reflexive;not movement;слушаю;слушаешь;слушает;слушаете;слушаем;слушают;слушай;слушайте;слушая;слушав;слушающий;слушавший;слушаемый;слушанный
271;be afraid (of), fear;бояться;;;;несовер.;;reflexive;not movement;боюсь;боишься;боится;боитесь;боимся;боятся;бойся;бойтесь;боясь;боявшись;боящийся;боявшийся;боящийся;боявшийся
281;look (at), peer (at);глядеть;;;;несовер.;глядеть/поглядеть;not reflexive;not movement;гляжу;глядишь;глядит;глядите;глядим;глядят;гляди;глядите;глядя;глядев;глядящий;глядевший;;
283;sit down, sit up;сесть;;;;совер.;садиться/сесть;not reflexive;not movement;сяду;сядешь;сядет;сядете;сядем;сядут;сядь;сядьте;;сев;;севший;;
291;read;читать;1;;;несовер.;читать/прочесть;not reflexive;not movement;читаю;читаешь;читает;читаете;читаем;читают;читай;читайте;читая;читав;читающий;читавший;читаемый;читанный
297;remain, stay;оставаться;;;;несовер.;оставаться/остаться;reflexive;not movement;остаюсь;остаёшься;остаётся;остаётесь;остаёмся;остаются;останься;останьтесь;ося;остав;;оставшийся;;
305;take, shoulder;брать;;;;несовер.;брать/взять;not reflexive;not movement;беру;берёшь;берёт;берёте;берём;берут;бери;берите;беря;брав;берущий;бравший;;
306;write, type;написать;1;;;совер.;писать/написать;not reflexive;not movement;написаю;написаешь;написает;написаете;написаем;написают;написай;написайте;;написав;;написавший;;
309;begin, start (with);начинать;;;;несовер.;начинать/начать;not reflexive;not movement;начинаю;начинаешь;начинает;начинаете;начинаем;начинают;начинай;начинайте;начиная;начинав;начинающий;начинавший;начинаемый;
316;feel, have a sensation (of);чувствовать;;;;несовер.;чувствовать/перечувствовать;not reflexive;not movement;чувствую;чувствуешь;чувствует;чувствуете;чувствуем;чувствуют;чувствуй;чувствуйте;чувствуя;чувствовав;чувствующий;чувствовавший;чувствуемый;
0;feel, have a sensation (of);перечувствовать;;;;совер.;чувствовать/перечувствовать;not reflexive;not movement;перечувствую;перечувствуешь;перечувствует;перечувствуете;перечувствуем;перечувствуют;перечувствуй;перечувствуйте;;перечувствовав, *перечувствовавши;;перечувствовавший;;
318;lead, guide;вести;;;;несовер.;вести/повести;not reflexive;not movement;веду;ведёшь;ведёт;ведёте;ведём;ведут;веди;ведите;ведя;;ведущий;ведший;;ведённый
321;have time;успеть;;;;совер.;успевать/успеть;not reflexive;movement;успею;успеешь;успеет;успеете;успеем;успеют;успей;успейте;;успев;;успевший;;
325;continue, go on;продолжать;;;;несовер.;продолжать/продолжить;not reflexive;not movement;продолжаю;продолжаешь;продолжает;продолжаете;продолжаем;продолжают;продолжай;продолжайте;продолжая;продолжав;продолжающий;продолжавший;продолжаемый;
329;forget;забыть;;;;совер.;забывать/забыть;not reflexive;not movement;забуду;забудешь;забудет;забудете;забудем;забудут;забудь;забудьте;;забыв;;забывший;;забытый
334;pass / go / walk (by / through / over / along);пройти;;;;совер.;проходить/пройти;not reflexive;not movement;пройду;пройдёшь;пройдёт;пройдёте;пройдём;пройдут;пройди;пройдите;;пройдя;;прошедший;;пройденный
335;appear, make one's appearance;появиться;;;;совер.;появляться/появиться;reflexive;not movement;появлюсь;появишься;появится;появитесь;появимся;появятся;появись;появитесь;пося;появив;;появившийся;;появленныйся
338;go out, come out;выходить;;;;несовер.;выходить/выйти;not reflexive;not movement;выхожу;выходишь;выходит;выходите;выходим;выходят;выходи;выходите;;выходив;;выходивший;;выхоженный
339;ask, beg;просить;;;;несовер.;просить/попросить;not reflexive;not movement;прошу;просишь;просит;просите;просим;просят;проси;просите;прося;просив;просящий;просивший;;прошенный
344;try, attempt;пытаться;;;;несовер.;пытаться/попытаться;reflexive;not movement;пытаюсь;пытаешься;пытается;пытаетесь;пытаемся;пытаются;пытайся;пытайтесь;пытаясь;пытавшись;пытающийся;пытавшийся;пытающийся;пытавшийся
345;show (to);показать;;;;совер.;показываться/показать;not reflexive;not movement;покажу;покажешь;покажет;покажете;покажем;покажут;покажи;покажите;;показав;;показавший;;показанный
0;appear, come into view;показываться;;;;несовер.;показываться/показаться;reflexive;not movement;показываюсь;показываешься;показывается;показываетесь;показываемся;показываются;показывайся;показывайтесь;показываясь;показывавшись;показывающийся;показывавшийся;показывающийся;показывавшийся
346;remember, recall;вспомнить;;;;совер.;вспоминать/вспомнить;not reflexive;not movement;вспомню;вспомнишь;вспомнит;вспомните;вспомним;вспомнят;вспомни;вспомните;;вспомнив;;вспомнивший;;вспомненный
350;hold;держать;2;;;несовер.;;not reflexive;not movement;держу;держишь;держит;держите;держим;держат;держи;держите;держа;держав;держащий;державший;;
356;name, call;называть;;;;несовер.;называть/назвать;not reflexive;not movement;называю;называешь;называет;называете;называем;называют;называй;называйте;называя;называв;называющий;называвший;называемый;
360;leave, go away;уходить;;;;несовер.;уходить/уйти;not reflexive;not movement;ухожу;уходишь;уходит;уходите;уходим;уходят;уходи;уходите;;уходив;;уходивший;;ухоженный
361;approach, walk / step up (to);подойти;;;;совер.;подходить/подойти;not reflexive;movement;подойду;подойдёшь;подойдёт;подойдёте;подойдём;подойдут;подойди;подойдите;;подойдя;;подошедший;;
362;lift, raise;поднять;;;;совер.;поднимать/поднять;not reflexive;not movement;подниму;поднимешь;поднимет;поднимете;поднимем;поднимут;подними;поднимите;;подняв;;поднявший;;поднятый
364;ask, inquire;спрашивать;;;;несовер.;спрашивать/спросить;not reflexive;not movement;спрашиваю;спрашиваешь;спрашивает;спрашиваете;спрашиваем;спрашивают;спрашивай;спрашивайте;спрашивая;спрашивав;спрашивающий;спрашивавший;спрашиваемый;
367;throw, hurl;бросить;;;;совер.;бросать/бросить;not reflexive;not movement;брошу;бросишь;бросит;бросите;бросим;бросят;брось;бросьте;;бросив;;бросивший;;брошенный
374;send, dispatch;послать;;;;совер.;посылать/послать;not reflexive;not movement;пошлю;пошлёшь;пошлёт;пошлёте;пошлём;пошлют;пошли;пошлите;;послав;;пославший;;посланный
375;be found, turn up;находиться;;;;несовер.;находиться/найтись;reflexive;not movement;нахожусь;находишься;находится;находитесь;находимся;находятся;находись;находитесь;находясь;находившись;находящийся;находившийся;находящийся;находившийся
377;put, place;поставить;;;;совер.;ставить/поставить;not reflexive;not movement;поставлю;поставишь;поставит;поставите;поставим;поставят;поставь;поставьте;;поставив;;поставивший;;поставленный
378;stand up, get up;встать;;;;совер.;вставать/встать;not reflexive;movement;встану;встанешь;встанет;встанете;встанем;встанут;встань;встаньте;;встав;;вставший;;
390;play, act;играть;;;;несовер.;играть/сыграть;not reflexive;not movement;играю;играешь;играет;играете;играем;играют;играй;играйте;играя;играв;играющий;игравший;играемый;игранный
391;follow, go (after);следовать;;;;несовер.;следовать/последовать;not reflexive;movement;следую;следуешь;следует;следуете;следуем;следуют;следуй;следуйте;следуя;следовав;следующий;следовавший;следующий;следовавший
392;tell, relate;рассказать;;;;совер.;рассказывать/рассказать;not reflexive;not movement;расскажу;расскажешь;расскажет;расскажете;расскажем;расскажут;расскажи;расскажите;;рассказав;;рассказавший;;рассказанный
397;be asleep, sleep;спать;;;;несовер.;;not reflexive;not movement;сплю;спишь;спит;спите;спим;спят;спи;спите;;спав;спящий;спавший;спящий;спавший
398;совер. от оставлять;оставить;;;;совер.;оставлять/оставить;not reflexive;not movement;оставлю;оставишь;оставит;оставите;оставим;оставят;оставь;оставьте;;оставив;;оставивший;;оставленный
399;enter, go in(to);войти;;;;совер.;входить/войти;not reflexive;movement;войду;войдёшь;войдёт;войдёте;войдём;войдут;войди;войдите;;войдя;;вошедший;;
402;be / keep silent, keep silence;молчать;;;;несовер.;;not reflexive;movement;молчу;молчишь;молчит;молчите;молчим;молчат;молчи;молчите;молча;молчав;молчащий;молчавший;молчащий;молчавший
403;tell, relate;рассказывать;;;;несовер.;рассказывать/рассказать;not reflexive;not movement;рассказываю;рассказываешь;рассказывает;рассказываете;рассказываем;рассказывают;рассказывай;рассказывайте;рассказывая;рассказывав;рассказывающий;рассказывавший;рассказываемый;
404;answer, reply (to);отвечать;;;;несовер.;отвечать/ответить;not reflexive;not movement;отвечаю;отвечаешь;отвечает;отвечаете;отвечаем;отвечают;отвечай;отвечайте;отвечая;отвечав;отвечающий;отвечавший;отвечаемый;
405;stand, take one's stand;становиться;;;;несовер.;становиться/стать;reflexive;not movement;становлюсь;становишься;становится;становитесь;становимся;становятся;становись;становитесь;становясь;становившись;становящийся;становившийся;становящийся;становившийся
406;stop, come to a stop / halt;остановиться;;;;совер.;останавливаться/остановиться;reflexive;not movement;остановлюсь;остановишься;остановится;остановитесь;остановимся;остановятся;остановись;остановитесь;;остановившись;;остановившийся;;
409;look for, seek;искать;;;;несовер.;искать/поискать;not reflexive;not movement;ищу;ищешь;ищет;ищете;ищем;ищут;ищи;ищите;ища;искав;ищущий;искавший;;исканный
413;begin, start (with);начать;;;;совер.;начинать/начать;not reflexive;not movement;начну;начнёшь;начнёт;начнёте;начнём;начнут;начни;начните;;начав;;начавший;;начатый
417;believe, trust;верить;2;;;несовер.;верить/поверить;not reflexive;not movement;верю;веришь;верит;верите;верим;верят;верь;верьте;веря;верив;верящий;веривший;верящий;веривший
422;appear, present;являться;;;;несовер.;являться/явиться;reflexive;not movement;являюсь;являешься;является;являетесь;являемся;являются;;;;;являющийся;являвшийся;являющийся;являвшийся
439;be able, can;смочь;;;;совер.;мочь/смочь;not reflexive;movement;смогу;сможешь;сможет;сможете;сможем;смогут;смоги;смогите;;смогши;;смогший;;
441;от бегать 1);бежать;;;;несовер.;бежать/побежать;not reflexive;movement;бегу;бежишь;бежит;бежите;бежим;бегут;беги;бегите;;бежав;бегущий;бежавший;бегущий;бежавший
445;arrive, come;приехать;;;;совер.;приезжать/приехать;not reflexive;movement;приеду;приедешь;приедет;приедете;приедем;приедут;приезжай;приезжайте;;приехав;;приехавший;;
447;cry, shout;кричать;;;;несовер.;кричать/крикнуть;not reflexive;movement;кричу;кричишь;кричит;кричите;кричим;кричат;кричи;кричите;крича;кричав;кричащий;кричавший;кричащий;кричавший
453;open;открыть;;;;совер.;открывать/открыть;not reflexive;not movement;открою;откроешь;откроет;откроете;откроем;откроют;открой;откройте;;открыв;;открывший;;открытый
454;take place, happen;происходить;;;;несовер.;происходить/произойти;not reflexive;movement;происхожу;происходишь;происходит;происходите;происходим;происходят;происходи;происходите;происходя;происходив;происходящий;происходивший;происходящий;происходивший
459;от ездить;ехать;;;;несовер.;ехать/поехать;not reflexive;movement;еду;едешь;едет;едете;едем;едут;езди, езжай, поезжай;ездите, езжайте, поезжайте;;ехав;едущий;ехавший;едущий;ехавший
464;come, arrive;приходить;;;;несовер.;приходить/прийти;not reflexive;movement;прихожу;приходишь;приходит;приходите;приходим;приходят;приходи;приходите;приходя;приходив;приходящий;приходивший;приходящий;приходивший
474;rise, go up;подняться;;;;совер.;подниматься/подняться;reflexive;not movement;поднимусь;поднимешься;поднимется;подниметесь;поднимемся;поднимутся;поднимись;поднимитесь;;поднявшись;;поднявшийся;;
477;appear, come into view;показаться;;;;совер.;казаться/показаться;reflexive;not movement;покажусь;покажешься;покажется;покажетесь;покажемся;покажутся;покажись;покажитесь;;показавшись;;показавшийся;;
479;gather, assemble;собираться;;;;несовер.;собираться/собраться;reflexive;not movement;собираюсь;собираешься;собирается;собираетесь;собираемся;собираются;собирайся;собирайтесь;собираясь;собиравшись;собирающийся;собиравшийся;собирающийся;собиравшийся
480;hit;попасть;;;;совер.;попадать/попасть;not reflexive;movement;попаду;попадёшь;попадёт;попадёте;попадём;попадут;попади;попадите;по;попав;;попавший;;
481;accept, take;принять;;;;совер.;принимать/принять;not reflexive;not movement;приму;примешь;примет;примете;примем;примут;прими;примите;;приняв;;принявший;;принятый
484;go, ride;поехать;;;;совер.;ехать/поехать;not reflexive;movement;поеду;поедешь;поедет;поедете;поедем;поедут;поезжай, езди;поезжайте, ездите;;поехав;;поехавший;;
485;hear;услышать;;;;совер.;слышать/услышать;not reflexive;not movement;услышу;услышишь;услышит;услышите;услышим;услышат;услышь;услышьте;;услышав;;услышавший;;
486;be able, know how;уметь;;;;несовер.;уметь/суметь;not reflexive;movement;умею;умеешь;умеет;умеете;умеем;умеют;умей;умейте;умея;умев;умеющий;умевший;умеющий;умевший
487;happen, come to pass;случиться;;;;совер.;случаться/случиться;reflexive;not movement;случусь;случишься;случится;случитесь;случимся;случатся;случись;случитесь;;случившись;;случившийся;;
499;endeavo(u)r, try (hard);стараться;;;;несовер.;стараться/постараться;reflexive;not movement;стараюсь;стараешься;старается;стараетесь;стараемся;стараются;старайся;старайтесь;стараясь;старавшись;старающийся;старавшийся;старающийся;старавшийся
506;call;звать;;;;несовер.;звать/позвать;not reflexive;not movement;зову;зовёшь;зовёт;зовёте;зовём;зовут;зови;зовите;зовя;звав;зовущий;звавший;;званный
507;take place, happen;произойти;;;;совер.;происходить/произойти;not reflexive;movement;произойду;произойдёшь;произойдёт;произойдёте;произойдём;произойдут;произойди;произойдите;;произойдя;;произошедший, происшедший;;
512;occupy / busy oneself, be occupied;заниматься;;;;несовер.;заниматься/заняться;reflexive;not movement;занимаюсь;занимаешься;занимается;занимаетесь;занимаемся;занимаются;;;;;занимающийся;занимавшийся;занимающийся;занимавшийся
521;put, lay (down;положить;;;;совер.;класть/положить;not reflexive;not movement;положу;положишь;положит;положите;положим;положат;положи;положите;;положив, положа;;положивший;;положенный
527;buy, purchase;купить;;;;совер.;покупать/купить;not reflexive;not movement;куплю;купишь;купит;купите;купим;купят;купи;купите;;купив;;купивший;;купленный
531;die, pass away;умереть;;;;совер.;умирать/умереть;not reflexive;not movement;умру;умрёшь;умрёт;умрёте;умрём;умрут;умри;умрите;;умерев, умерши;;умерший;;
537;drink, have;пить;;;;несовер.;пить/выпить;not reflexive;not movement;пью;пьёшь;пьёт;пьёте;пьём;пьют;пей;пейте;;пив;пьющий;пивший;;питый
543;pass / go / walk (by / through / over / along);проходить;;;;несовер.;проходить/пройти;not reflexive;movement;прохожу;проходишь;проходит;проходите;проходим;проходят;проходи;проходите;;проходив;;проходивший;;
545;take away, take off;снять;;;;совер.;снимать/снять;not reflexive;not movement;сниму;снимешь;снимет;снимете;снимем;снимут;сними;снимите;;сняв;;снявший;;снятый
552;begin, start;начаться;;;;совер.;начинаться/начаться;reflexive;not movement;начнусь;начнёшься;начнётся;начнётесь;начнёмся;начнутся;начнись;начнитесь;;начавшись;;начавшийся;;
558;present, offer;представлять;;;;несовер.;представлять/представить;not reflexive;not movement;представляю;представляешь;представляет;представляете;представляем;представляют;представляй;представляйте;представляя;представляв;представляющий;представлявший;представляемый;
560;explain, illustrate;объяснить;;;;совер.;объяснять/объяснить;not reflexive;not movement;объясню;объяснишь;объяснит;объясните;объясним;объяснят;объясни;объясните;;объяснив;;объяснивший;;объяснённый
562;pronounce, articulate;произнести;;;;совер.;произносить/произнести;not reflexive;not movement;произнесу;произнесёшь;произнесёт;произнесёте;произнесём;произнесут;произнеси;произнесите;;произнеся;;произнёсший;;произнесённый
564;please, like;нравиться;;;;несовер.;нравиться/понравиться;reflexive;not movement;нравлюсь;нравишься;нравится;нравитесь;нравимся;нравятся;нравься;нравьтесь;нравясь;нравившись;нравящийся;нравившийся;нравящийся;нравившийся
568;exist, be;существовать;;;;несовер.;;not reflexive;movement;существую;существуешь;существует;существуете;существуем;существуют;существуй;существуйте;существуя;существовав;существующий;существовавший;существующий;существовавший
570;turn out well, work well;удаться;;;;совер.;удаваться/удаться;reflexive;not movement;удамся;удашься;удастся;удадитесь;удадимся;удадутся;удайся;удайтесь;у;удавшись;;удавшийся;;
574;suit, fit;прийтись;;;;несовер.;прийтись/прийтись;reflexive;movement;придусь;придёшься;придётся;придётесь;придёмся;придутся;приди, приходись;придите, приходитесь;ся;придясь;;пришедшийся;;
586;present, offer;представить;;;;совер.;представлять/представить;not reflexive;not movement;представлю;представишь;представит;представите;представим;представят;представь;представьте;;представив;;представивший;;представленный
597;call, name;назвать;;;;совер.;называть/назвать;not reflexive;not movement;назову;назовёшь;назовёт;назовёте;назовём;назовут;назови;назовите;;назвав;;назвавший;;названный
599;smile;улыбаться;;;;несовер.;улыбаться/улыбнуться;reflexive;movement aspect unset;;;;;;;;;;;;;;
605;smile;улыбнуться;;;;совер.;улыбаться/улыбнуться;reflexive;movement aspect unset;;;;;;;;;;;;;;
615;laugh, chuckle;смеяться;;;;несовер.;смеяться/засмеяться;reflexive;not movement;смеюсь;смеёшься;смеётся;смеётесь;смеёмся;смеются;смейся;смейтесь;смеясь;смеявшись;смеющийся;смеявшийся;смеющийся;смеявшийся
618;snatch, catch hold (of);хватать;;;;несовер.;хватать/схватить;not reflexive;not movement;хватаю;хватаешь;хватает;хватаете;хватаем;хватают;хватай;хватайте;хватая;хватав;хватающий;хватавший;хватаемый;хватанный
622;feel, have a sensation (of);почувствовать;;;;совер.;чувствовать/почувствовать;not reflexive;not movement;почувствую;почувствуешь;почувствует;почувствуете;почувствуем;почувствуют;почувствуй;почувствуйте;;почувствовав;;почувствовавший;;почувствованный
623;bring, fetch;принести;;;;совер.;приносить/принести;not reflexive;not movement;принесу;принесёшь;принесёт;принесёте;принесём;принесут;принеси;принесите;;принеся;;принёсший;;принесённый
629;agree (to), consent (to);согласиться;;;;совер.;соглашаться/согласиться;reflexive;not movement;соглашусь;согласишься;согласится;согласитесь;согласимся;согласятся;согласись;согласитесь;;согласившись;;согласившийся;;
636;suffice, be sufficient / enough;хватить;;;;совер.;хватать/хватить;not reflexive;not movement;хвачу;хватишь;хватит;хватите;хватим;хватят;хвати;хватите;;хватив, хватя;;хвативший;;хваченный
643;accept, take;принимать;;;;несовер.;принимать/принять;not reflexive;not movement;принимаю;принимаешь;принимает;принимаете;принимаем;принимают;принимай;принимайте;принимая;принимав;принимающий;принимавший;принимаемый;
648;kill, murder;убить;;;;совер.;убивать/убить;not reflexive;not movement;убью;убьёшь;убьёт;убьёте;убьём;убьют;убей;убейте;;убив;;убивший;;убитый
652;offer;предложить;;;;совер.;предлагать/предложить;not reflexive;not movement;предложу;предложишь;предложит;предложите;предложим;предложат;предложи;предложите;;предложив;;предложивший;;предложенный
