Rank;English translation;Infinitive;Conjugation group;Conjugation suffix;Colloquial;Perfective aspect;Aspect pairs;Refexive aspect;Movement aspect;я;ты;он/она́/оно́;мы;вы;они́;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
3314;come off, tear off;оторваться;;;;совер.;отрываться/оторваться;reflexive;not movement;оторвусь;оторвёшься, оторвешься;оторвётся, оторвется;оторвётесь, оторветесь;оторвёмся, оторвемся;оторвутся;оторвись;оторвитесь;;оторвавшись;;оторвавшийся;;
3316;frighten, scare;пугать;;;;несовер.;пугать/пугаться;not reflexive;not movement;пугаю;пугаешь;пугает;пугаете;пугаем;пугают;пугай;пугайте;пугая;пугав;пугающий;пугавший;пугаемый;пуганный
0;be frightened (of), be startled (of);пугаться;;;;несовер.;пугаться/испугаться;reflexive;not movement;пугаюсь;пугаешься;пугается;пугаетесь;пугаемся;пугаются;пугайся;пугайтесь;пугаясь;пугавшись;пугающийся;пугавшийся;пугающийся;пугавшийся
3318;sparkle, twinkle;сверкать;;;;несовер.;сверкать/сверкнуть;not reflexive;movement;сверкаю;сверкаешь;сверкает;сверкаете;сверкаем;сверкают;сверкай;сверкайте;сверкая;сверкав;сверкающий;сверкавший;сверкающий;сверкавший
0;flash;сверкнуть;;;;совер.;сверкать/сверкнуть;not reflexive;movement;сверкну;сверкнёшь;сверкнёт;сверкнёте;сверкнём;сверкнут;сверкни;сверкните;;сверкнув, *сверкнувши;;сверкнувший;;
3322;поедать, eat up;поесть;;;;совер.;поедать/поесть;not reflexive;not movement;поем;поешь;поест;поедите;поедим;поедят;поешь;поешьте;;поев;;поевший;;
0;eat up, eat through;поедать;;;;несовер.;поедать/поесть;not reflexive;not movement;поедаю;поедаешь;поедает;поедаете;поедаем;поедают;поедай;поедайте;поедая;поедав, *поедавши;поедающий;поедавший;поедаемый;-
3326;go (to a place), make (for a place);отправляться;;;;несовер.;отправляться/отправиться;reflexive;not movement;отправляюсь;отправляешься;отправляется;отправляетесь;отправляемся;отправляются;отправляйся;отправляйтесь;отправляясь;отправлявшись;отправляющийся;отправлявшийся;отправляющийся;отправлявшийся
3328;depict, picture;изобразить;;;;совер.;изображать/изобразить;not reflexive;not movement;изображу;изобразишь;изобразит;изобразите;изобразим;изобразят;изобрази;изобразите;;изобразив;;изобразивший;;изображенный, изображённый
3334;express, say;высказать;;;;совер.;высказывать/высказать;not reflexive;not movement;выскажу;выскажешь;выскажет;выскажете;выскажем;выскажут;выскажи;выскажите;;высказав;;высказавший;;высказанный
0;express, say;высказывать;;;;несовер.;высказывать/высказать;not reflexive;not movement;высказываю;высказываешь;высказывает;высказываете;высказываем;высказывают;высказывай;высказывайте;высказывая;-;высказывающий;высказывавший;высказываемый;
3345;burn, scorch;спалить;;;;совер.;палить/спалить;not reflexive;not movement;спалю;спалишь;спалит;спалите;спалим;спалят;спали;спалите;;спалив;;спаливший;;спалённый
0;burn, scorch;палить;;;;несовер.;палить/попалить;not reflexive;movement;палю;палишь;палит;палите;палим;палят;пали;палите;паля;палив, *паливши;палящий;паливший;палящий;паливший
3358;whisper;шептать;;;;несовер.;шептать/прошептать;not reflexive;not movement;шепчу;шепчешь;шепчет;шепчете;шепчем;шепчут;шепчи;шепчите;шепча;шептав;шепчущий;шептавший;;шёптанный
3363;spoil, mar;испортить;;;;совер.;портить/испортить;not reflexive;not movement;испорчу;испортишь;испортит;испортите;испортим;испортят;испорти, испорть;испортите, испортьте;;испортив;;испортивший;;испорченный
0;spoil, mar;портить;;;;несовер.;портить/испортить;not reflexive;not movement;порчу;портишь;портит;портите;портим;портят;порти, порть;портите, портьте;портя;портив, *портивши;портящий;портивший;*портимый;порченный
3368;torment, torture;мучить;;;;несовер.;мучить/замучить;not reflexive;not movement;мучу, мучаю;мучишь, мучаешь;мучит, мучает;мучите, мучаете;мучим, мучаем;мучат, мучают;мучь, мучай;мучьте, мучайте;муча, мучая;мучив;мучащий, мучающий;мучивший;;
0;torture, torment;замучить;;;;совер.;мучить/замучить;not reflexive;not movement;замучу, замучаю;замучишь, замучаешь;замучит, замучает;замучите, замучаете;замучим, замучаем;замучат, замучают;замучь, замучай;замучьте, замучайте;;замучив, *замучивши, *замучав, *замучавши;;замучивший, *замучавший;;замученный, *замучанный
